xflr5 v6.61

Mission 1 Iteration 1
T7-VLM2
QInf  =,   35.062996 ,m/s
Alpha = ,  -1.408554
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.125021
Cy    = ,   0.000000
Cd=,   0.013046,ICd=,    0.004253,PCd=,    0.008794
Cl   = ,-2.44683e-17
Cm   =, 0.000829563
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    0.068664, YCP=,    0.000000, ZCP=,    0.017281 
XNP=,    0.123455
Bending =,    0.000000



Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -0.5011,   0.3447, -2.787, 0.030814, 0.007445, 0.001500,-0.023604,-0.022553, 0.8337, 0.2094, 0.9828, 0.0000
   -0.4977,   0.3447, -3.003, 0.052607, 0.007231, 0.002760,-0.040543,-0.038348, 0.8281, 0.2409, 0.9799, 0.0000
   -0.4909,   0.3447, -2.802, 0.074626, 0.007109, 0.003653,-0.057273,-0.053929, 0.8221, 0.2634, 0.9736, 0.0006
   -0.4807,   0.3447, -2.587, 0.094970, 0.007002, 0.004290,-0.072233,-0.067828, 0.8165, 0.2835, 0.9651, 0.0032
   -0.4673,   0.3447, -2.379, 0.113213, 0.006911, 0.004704,-0.085080,-0.079723, 0.8115, 0.3012, 0.9551, 0.0105
   -0.4506,   0.3447, -2.191, 0.129256, 0.006862, 0.004945,-0.095776,-0.089584, 0.8064, 0.3137, 0.9440, 0.0269
   -0.4309,   0.3447, -2.030, 0.143162, 0.006819, 0.005075,-0.104451,-0.097534, 0.8020, 0.3246, 0.9322, 0.0585
   -0.4082,   0.3448, -1.904, 0.155088, 0.006782, 0.005155,-0.111327,-0.103789, 0.7982, 0.3339, 0.9201, 0.1128
   -0.3827,   0.3448, -1.819, 0.165240, 0.006751, 0.005248,-0.116671,-0.108603, 0.7950, 0.3418, 0.9081, 0.1986
   -0.3547,   0.3448, -1.789, 0.173831, 0.006735, 0.005430,-0.120755,-0.112239, 0.7921, 0.3471, 0.8966, 0.3256
   -0.3242,   0.3448, -1.842, 0.181065, 0.006729, 0.005824,-0.123835,-0.114941, 0.7895, 0.3506, 0.8857, 0.5040
   -0.2915,   0.3448, -2.055, 0.187122, 0.006723, 0.006716,-0.126134,-0.116923, 0.7873, 0.3535, 0.8757, 0.7444
   -0.2567,   0.3448, -2.754, 0.192153, 0.006718, 0.009243,-0.127834,-0.118361, 0.7854, 0.3559, 0.8668, 1.0565
   -0.2203,   0.3449, -6.077, 0.196265, 0.006714, 0.020898,-0.129082,-0.119392, 0.7839, 0.3579, 0.8591, 1.4495
   -0.1823,   0.3449,  1.120, 0.199589, 0.006711,-0.003900,-0.129987,-0.120122, 0.7827, 0.3595, 0.8527, 1.9311
   -0.1431,   0.3449,  0.895, 0.202167, 0.006709,-0.003157,-0.130631,-0.120629, 0.7818, 0.3608, 0.8475, 2.5074
   -0.1029,   0.3449,  0.833, 0.204057, 0.006707,-0.002965,-0.131070,-0.120967, 0.7811, 0.3617, 0.8437, 3.1823
   -0.0620,   0.3450,  0.732, 0.205297, 0.006706,-0.002622,-0.131342,-0.121172, 0.7806, 0.3623, 0.8411, 3.9574
   -0.0207,   0.3450,  0.729, 0.205910, 0.006705,-0.002620,-0.131471,-0.121266, 0.7804, 0.3626, 0.8398, 4.8315
    0.0207,   0.3450,  0.729, 0.205910, 0.006705,-0.002620,-0.131471,-0.121266, 0.7804, 0.3626, 0.8398, 4.8315
    0.0620,   0.3450,  0.732, 0.205297, 0.006706,-0.002622,-0.131342,-0.121172, 0.7806, 0.3623, 0.8411, 3.9574
    0.1029,   0.3449,  0.833, 0.204057, 0.006707,-0.002965,-0.131070,-0.120967, 0.7811, 0.3617, 0.8437, 3.1823
    0.1431,   0.3449,  0.895, 0.202167, 0.006709,-0.003157,-0.130631,-0.120629, 0.7818, 0.3608, 0.8475, 2.5074
    0.1823,   0.3449,  1.120, 0.199589, 0.006711,-0.003900,-0.129987,-0.120122, 0.7827, 0.3595, 0.8527, 1.9311
    0.2203,   0.3449, -6.077, 0.196265, 0.006714, 0.020898,-0.129082,-0.119392, 0.7839, 0.3579, 0.8591, 1.4495
    0.2567,   0.3448, -2.754, 0.192153, 0.006718, 0.009243,-0.127834,-0.118361, 0.7854, 0.3559, 0.8668, 1.0565
    0.2915,   0.3448, -2.055, 0.187122, 0.006723, 0.006716,-0.126134,-0.116923, 0.7873, 0.3535, 0.8757, 0.7444
    0.3242,   0.3448, -1.842, 0.181065, 0.006729, 0.005824,-0.123835,-0.114941, 0.7895, 0.3506, 0.8857, 0.5040
    0.3547,   0.3448, -1.789, 0.173831, 0.006735, 0.005430,-0.120755,-0.112239, 0.7921, 0.3471, 0.8966, 0.3256
    0.3827,   0.3448, -1.819, 0.165240, 0.006751, 0.005248,-0.116671,-0.108603, 0.7950, 0.3418, 0.9081, 0.1986
    0.4082,   0.3448, -1.904, 0.155088, 0.006782, 0.005155,-0.111327,-0.103789, 0.7982, 0.3339, 0.9201, 0.1128
    0.4309,   0.3447, -2.030, 0.143162, 0.006819, 0.005075,-0.104451,-0.097534, 0.8020, 0.3246, 0.9322, 0.0585
    0.4506,   0.3447, -2.191, 0.129256, 0.006862, 0.004945,-0.095776,-0.089584, 0.8064, 0.3137, 0.9440, 0.0269
    0.4673,   0.3447, -2.379, 0.113213, 0.006911, 0.004704,-0.085080,-0.079723, 0.8115, 0.3012, 0.9551, 0.0105
    0.4807,   0.3447, -2.587, 0.094970, 0.007002, 0.004290,-0.072233,-0.067828, 0.8165, 0.2835, 0.9651, 0.0032
    0.4909,   0.3447, -2.802, 0.074626, 0.007109, 0.003653,-0.057273,-0.053929, 0.8221, 0.2634, 0.9736, 0.0006
    0.4977,   0.3447, -3.003, 0.052607, 0.007231, 0.002760,-0.040543,-0.038348, 0.8281, 0.2409, 0.9799, 0.0000
