design_id,status_ok,scenario_tag,error_msg,wing_span,wing_AR,wing_chord,dihedral,htail_span,htail_AR,htail_incidence,vtail_height,vtail_AR,tail_arm,nose_x,n_ducks,n_pucks,mass_kg,Sref,Cref,Bref,CG_x_m,CG_z_m,CG_pct,Ixx,Iyy,Izz,Ixz,Vht,Vvt,CL_cruise,alpha_deg,elevator_deg,CL,CDtot,CDi,span_eff_e,Xnp_m,SM_pct,CLa,Cma,CYb,Clb,Cnb,CLq,Cmq,CYp,CYr,Clp,Clr,Cnp,Cnr,spiral_ratio,ph_sigma,ph_omega,ph_t2,sp_sigma,sp_omega,sp_t2,dr_sigma,dr_omega,dr_t2,roll_sigma,roll_omega,roll_t2,spiral_sigma,spiral_omega,spiral_t2,flag_pitch_unstable,flag_low_SM,flag_high_SM,flag_high_trim,flag_directional_unstable,flag_weak_directional,flag_bad_dihedral_effect,flag_spiral_unstable,flag_dutch_unstable,flag_high_drag,flag_slow_or_heavy,badness_score,fixability_score
1,1,excessive_trim_required,,1.2,3,0.4,4,0.25,2.5,-4,0.12,1.5,0.55,-0.26,3,1,3.5613574,0.48,0.4,1.2,0.0276831416582902,-0.00919593186575433,6.92078541457255,0.117447783231397,0.135088610890032,0.251485744778635,0.006042872889309,0.0716145833333334,0.00916666666666667,0.163008296212312,-0.51709,-32.41731,0.16301,0.01675,0.0160595,NaN,0.093027,16.3359645854275,3.148679,-0.009451,-0.045434,-0.0344,0.016077,3.699091,-1.10323,-0.068678,0.05357,-0.27859,0.073544,-0.004242,-0.021907,0.63736629268664,-0.0403759994229734,0.215931331143294,9999,-1.90886201366053,0,9999,-0.0763329448237307,3.97922132997042,9999,-561.958552294357,0,9999,0.029428264284261,0,23.5537908000459,0,0,0,1,0,1,0,1,0,0,0,4.5,3.75
2,1,excessive_trim_required,,1.2,3,0.4,4,0.25,2.5,-4,0.12,1.5,0.55,-0.2,3,1,3.5387374,0.48,0.4,1.2,0.053354315412045,-0.00925471327711404,13.3385788530112,0.117445858140175,0.102451980590265,0.21885103957009,0.00518485382974447,0.0716145833333334,0.00916666666666667,0.161972947257916,-0.53597,-32.41612,0.16197,0.01671,0.0160308,NaN,0.093009,9.91367114698875,3.148748,-0.009308,-0.045433,-0.034405,0.016081,3.699272,-1.103185,-0.068696,0.053517,-0.278612,0.073326,-0.004198,-0.021885,0.638553172184668,-0.0407855597297284,0.213416359429036,9999,-1.91043050724448,0,9999,-0.0761370376303726,3.97905589457095,9999,-562.253500218662,0,9999,0.0292520778910209,0,23.6956561903834,0,0,0,1,0,1,0,1,0,0,0,4.5,3.75
3,1,low_static_margin,,1.2,3,0.4,4,0.25,2.5,-4,0.12,1.5,0.55,-0.14,3,1,3.5161174,0.48,0.4,1.2,0.0789697924762125,-0.00931425099742119,19.7424481190531,0.117443908279834,0.0753018785164967,0.191702887356662,0.00432501070359596,0.0716145833333334,0.00916666666666667,0.160937598303519,-0.55485,-32.41494,0.16094,0.01668,0.0160023,NaN,0.092991,3.50530188094687,3.148816,-0.009165,-0.045433,-0.034411,0.016084,3.699453,-1.103141,-0.068712,0.053463,-0.278633,0.073107,-0.004155,-0.021864,0.639843680866676,-0.0411950585784772,0.210896352373793,9999,-1.91208350998199,0,9999,-0.0759509622454642,3.97879561495849,9999,-562.496136964545,0,9999,0.0290670600666812,0,23.8464839226889,0,1,0,1,0,1,0,1,0,0,0,6.5,5
4,1,low_static_margin,,1.2,3,0.4,4,0.25,2.5,-4,0.12,1.5,0.55,-0.08,3,1,3.4934974,0.48,0.4,1.2,0.104528490961522,-0.00937455971772013,26.1321227403805,0.117441933169245,0.053635694886101,0.170038678836856,0.00346330807898984,0.0716145833333334,0.00916666666666667,0.159902249349122,-0.57374,-32.41379,0.1599,0.01665,0.015974,NaN,0.092973,-2.88887274038046,3.148883,-0.009021,-0.045432,-0.034416,0.016087,3.699634,-1.103096,-0.068729,0.053409,-0.278654,0.072889,-0.004111,-0.021842,0.641085186840628,-0.041603047999704,0.208344846544612,9999,-1.91384359847667,0,9999,-0.0757696509348405,3.97850071072154,9999,-562.685741127481,0,9999,0.028887213448635,0,23.994947861359,0,1,0,1,0,1,0,1,0,0,0,6.5,5
5,1,pitch_unstable_aft_or_weak_tail,,1.2,3,0.4,4,0.25,2.5,-4,0.12,1.5,0.7,-0.26,3,1,3.6501574,0.48,0.4,1.2,0.0358584663773677,-0.00897221582828182,8.96461659434193,0.117455109931624,0.154817934897524,0.2712077420859,0.0063106147738588,0.0911458333333333,0.0116666666666667,0.167072796086336,-0.91592,-21.92695,0.16707,0.011,0.0106197,NaN,0.094144,14.5713834056581,3.159325,0.084541,-0.046167,-0.034792,0.020646,3.59218,-1.295522,-0.069277,0.061816,-0.279079,0.070164,-0.003822,-0.030792,0.73954912889685,0.382290682372078,0,1.81314170740189,-4.48179016215239,2.32348307217163,9999,-0.127018622424487,4.09847420157,9999,-542.868087436618,0,9999,0.0204814789701179,0,33.8426332185891,1,0,0,1,0,0,0,1,0,0,0,6.5,5.75
6,1,pitch_unstable_aft_or_weak_tail,,1.2,3,0.4,4,0.25,2.5,-4,0.12,1.5,0.7,-0.2,3,1,3.6275374,0.48,0.4,1.2,0.0614198757537276,-0.00902816329336811,15.3549689384319,0.117453277652142,0.120823151373084,0.237214790840941,0.00544900093093458,0.0911458333333333,0.0116666666666667,0.166037447131939,-0.93441,-21.93562,0.16604,0.01097,0.0105934,NaN,0.094126,8.17653106156811,3.159386,0.084682,-0.046165,-0.034798,0.020649,3.592354,-1.295478,-0.069296,0.061762,-0.279098,0.069953,-0.003776,-0.030771,0.741294068974507,0.380580526837111,0,1.82128914035744,-4.50406182799417,2.34698818443333,9999,-0.126850503192177,4.09830580186209,9999,-543.304893584043,0,9999,0.0202869001889231,0,34.1672297938555,1,0,0,1,0,0,0,1,0,0,0,6.5,5.75
7,1,pitch_unstable_aft_or_weak_tail,,1.2,3,0.4,4,0.25,2.5,-4,0.12,1.5,0.7,-0.14,3,1,3.6049174,0.48,0.4,1.2,0.0869255829273647,-0.00908481287255015,21.7313957318412,0.117451422378424,0.0923625505771494,0.208756045318725,0.00458556284087119,0.0911458333333333,0.0116666666666667,0.165002098177543,-0.95288,-21.9443,0.165,0.01094,0.0105673,NaN,0.094108,1.79560426815882,3.159446,0.084824,-0.046164,-0.034805,0.020651,3.592526,-1.295433,-0.069315,0.061707,-0.279117,0.069742,-0.003731,-0.03075,0.743106865922193,0.378858249849543,0,1.82956866013929,-4.52658459660045,2.37042400321333,9999,-0.126684183803427,4.0980585225088,9999,-543.701787826885,0,9999,0.0200874209428394,0,34.5065293614526,1,1,0,1,0,0,0,1,0,0,0,8.5,7
8,1,pitch_unstable_aft_or_weak_tail,,1.2,3,0.4,4,0.25,2.5,-4,0.12,1.5,0.7,-0.08,3,1,3.5822974,0.48,0.4,1.2,0.112374532723051,-0.00914217786608114,28.0936331807627,0.117449543674886,0.0694333904963755,0.18582876394149,0.00372026594667992,0.0911458333333333,0.0116666666666667,0.163966749223146,-0.97135,-21.953,0.16397,0.01091,0.0105415,NaN,0.094091,-4.57088318076272,3.159505,0.084965,-0.046163,-0.034812,0.020654,3.592699,-1.295388,-0.069334,0.061653,-0.279136,0.06953,-0.003686,-0.03073,0.744929431214976,0.377141369585405,0,1.83789750066912,-4.54935754883501,2.3937467445459,9999,-0.126533024664129,4.09788227227041,9999,-544.056949406971,0,9999,0.0198878035758716,0,34.8528774389591,1,1,0,1,0,0,0,1,0,0,0,8.5,7
9,1,pitch_unstable_aft_or_weak_tail,,1.2,3,0.4,4,0.25,2.5,-4,0.12,1.5,0.85,-0.26,3,1,3.7389574,0.48,0.4,1.2,0.0449392740874769,-0.00875912627407844,11.2348185218692,0.117462088614524,0.181188430653508,0.297571259158984,0.00660801122636487,0.110677083333333,0.0141666666666667,0.171137295960359,-1.12163,-14.73869,0.17114,0.00808,0.0078065,NaN,0.095506,12.6416814781308,3.165593,0.176975,-0.04667,-0.035042,0.025222,3.49082,-1.580613,-0.069737,0.070485,-0.279319,0.068482,-0.003455,-0.04207,0.85350376382961,0.473561339857027,0,1.46369038648555,-4.43246905366194,3.38690231493926,9999,-0.175027694991416,4.13011551514906,9999,-523.158137577862,0,9999,0.0113238243843869,0,61.2114032354337,1,0,0,0,0,0,0,1,0,0,0,5,5
10,1,pitch_unstable_aft_or_weak_tail,,1.2,3,0.4,4,0.25,2.5,-4,0.12,1.5,0.85,-0.2,3,1,3.7163374,0.48,0.4,1.2,0.0704016759619296,-0.00881243990386879,17.6004189904824,0.117460342593148,0.145604512267874,0.261989086794725,0.0057431548877532,0.110677083333333,0.0141666666666667,0.170101947005963,-1.13986,-14.75382,0.1701,0.00805,0.0077797,NaN,0.095489,6.2718310095176,3.165652,0.177115,-0.046669,-0.03505,0.025225,3.490989,-1.580565,-0.069758,0.070431,-0.279337,0.068276,-0.003406,-0.042049,0.855745156326671,0.471021782382924,0,1.47158200848648,-4.45406319883859,3.42134199733299,9999,-0.174876867045979,4.13003753881973,9999,-523.691873542349,0,9999,0.0111187787729472,0,62.3402259109986,1,0,0,0,0,0,0,1,0,0,0,5,5
