sweep,value,CG_pct,Cma,SM_pct,CLa,CDi,Cnb,Clb,ph_sigma,sp_sigma,dr_sigma,spiral_t2,elevator_deg
Wing AR,2.5,18.709,0.0065,7.377,2.9154,0.004665,0.0620,-0.0336,0.0816,-6.0920,-0.6989,23.34,-12.097
Wing AR,3,16.832,0.0102,12.616,3.2596,0.003965,0.0739,-0.0397,0.0944,-5.8536,-0.6989,31.18,-7.551
Wing AR,3.5,15.223,-0.0048,18.100,3.5575,0.003792,0.0856,-0.0452,-0.0264,-4.6144,-0.6999,39.07,-4.789
Wing AR,4,13.805,-0.0419,23.953,3.8183,0.003869,0.0974,-0.0504,-0.0203,-3.9884,-0.7011,46.08,-3.015
Wing AR,4.5,12.526,-0.1086,30.243,4.0511,0.004074,0.1091,-0.0552,-0.0107,-3.7260,-0.7029,51.25,-1.855
Wing AR,5,11.351,-0.2043,37.007,4.2605,0.004350,0.1208,-0.0596,-0.0000,-3.7248,-0.7046,54.14,-1.072
Wing AR,5.5,10.258,-0.3344,44.258,4.4521,0.004666,0.1325,-0.0637,0.0103,-3.9164,-0.7066,54.80,-0.551
Wing AR,6,9.228,-0.4989,52.016,4.6273,0.005006,0.1442,-0.0676,0.0189,-4.3745,-0.7087,53.70,-0.207
Htail Span (m),0.2,8.370,0.3957,17.436,3.6457,0.005858,0.0982,-0.0516,0.9857,-0.6892,-0.7159,51.67,-17.698
Htail Span (m),0.25,9.376,0.3338,18.192,3.6706,0.005105,0.0983,-0.0515,0.7181,-1.2258,-0.7136,50.33,-10.409
Htail Span (m),0.3,10.619,0.2441,19.455,3.7058,0.004401,0.0981,-0.0513,0.5140,-3.4861,-0.7100,48.96,-6.566
Htail Span (m),0.35,12.096,0.1207,21.349,3.7543,0.003818,0.0978,-0.0509,0.3202,-4.9468,-0.7057,47.54,-4.356
Htail Span (m),0.4,13.805,-0.0419,23.953,3.8183,0.003869,0.0974,-0.0504,-0.0203,-3.9884,-0.7011,46.08,-3.015
Htail Span (m),0.5,17.898,-0.4996,31.260,3.9977,0.004276,0.0963,-0.0491,0.4066,-1.0858,-0.6924,43.20,-1.640
Htail Span (m),0.6,22.852,-1.1404,40.650,4.2486,0.004605,0.0951,-0.0475,-0.5534,4.1750,-0.6854,40.51,-1.070
Tail Arm (m),0.5,4.889,-0.1829,26.433,3.8191,0.004538,0.0577,-0.0483,0.2440,-1.3463,-0.3831,18.68,-8.399
Tail Arm (m),0.6,7.284,-0.1403,25.820,3.8171,0.004094,0.0690,-0.0491,0.0720,-1.9256,-0.4813,22.84,-6.259
Tail Arm (m),0.7,9.804,-0.1003,25.144,3.8172,0.003909,0.0803,-0.0497,0.0087,-2.6933,-0.5752,28.85,-4.700
Tail Arm (m),0.8,12.443,-0.0613,24.376,3.8179,0.003861,0.0917,-0.0502,-0.0144,-3.5373,-0.6614,38.54,-3.511
Tail Arm (m),0.85,13.805,-0.0419,23.953,3.8183,0.003869,0.0974,-0.0504,-0.0203,-3.9884,-0.7011,46.08,-3.015
Tail Arm (m),0.95,16.611,-0.0032,23.028,3.8190,0.003925,0.1087,-0.0507,-0.0273,-5.1224,-0.7738,74.77,-2.169
Tail Arm (m),1.1,21.015,0.0549,21.443,3.8199,0.004075,0.1258,-0.0512,0.1496,-5.9625,-0.8665,830.83,-1.169
Dihedral (deg),0,13.805,-0.0367,23.818,3.8125,0.003881,0.0989,-0.0158,-0.0214,-4.0497,-0.8413,11.05,-3.045
Dihedral (deg),2,13.805,-0.0390,23.877,3.8160,0.003874,0.0981,-0.0355,-0.0209,-4.0237,-0.7604,19.55,-3.027
Dihedral (deg),3.5,13.805,-0.0419,23.953,3.8183,0.003869,0.0974,-0.0504,-0.0203,-3.9884,-0.7011,46.08,-3.015
Dihedral (deg),5,13.805,-0.0459,24.057,3.8203,0.003864,0.0965,-0.0655,-0.0195,-3.9411,-0.6428,999.00,-3.004
Dihedral (deg),7,13.805,-0.0528,24.237,3.8225,0.003859,0.0950,-0.0862,-0.0181,-3.8628,-0.5671,999.00,-2.991
Dihedral (deg),10,13.805,-0.0666,24.597,3.8248,0.003858,0.0923,-0.1185,-0.0152,-3.7214,-0.4588,999.00,-2.972
Ducks,0,8.390,-0.0381,29.269,3.8198,0.003241,0.0973,-0.0509,-0.0195,-4.0058,-0.7055,64.72,-3.002
Ducks,1,10.321,-0.0394,27.371,3.8193,0.003442,0.0973,-0.0508,-0.0198,-3.9985,-0.7037,57.03,-3.006
Ducks,2,12.122,-0.0406,25.603,3.8188,0.003651,0.0973,-0.0506,-0.0201,-3.9925,-0.7023,50.97,-3.011
Ducks,3,13.805,-0.0419,23.953,3.8183,0.003869,0.0974,-0.0504,-0.0203,-3.9884,-0.7011,46.08,-3.015
Ducks,4,15.382,-0.0432,22.410,3.8177,0.004095,0.0974,-0.0502,-0.0205,-3.9864,-0.7002,42.05,-3.020
Ducks,5,16.862,-0.0444,20.963,3.8171,0.004330,0.0974,-0.0500,-0.0207,-3.9870,-0.6996,38.67,-3.025
