,Manufacturer,Motor,Kv,Watts,Io,Rm,Mass
0,Castle,Vertigo 600-3538² (530),530,2500,2.2,0.021,421.0
1,Castle,Vertigo 700-4540² (490),490,4000,1.8,0.012,694.0
2,Cobra,C-2820/12 (970),970,590,1.3,0.059,142.0
3,Cobra,C-2820/14 (840),840,530,1.0,0.071,140.0
4,Cobra,C-2826/10 (930),930,660,1.3,0.048,171.0
5,Cobra,C-2826/12 (760),760,620,1.1,0.068,171.0
6,Cobra,C-3515/14 (950),950,970,1.39,0.044,178.0
7,Cobra,C-3515/18 (740),740,790,1.01,0.065,178.0
8,Cobra,C-3520/10 (980),980,1110,1.84,0.037,210.0
9,Cobra,C-3520/12 (820),820,1040,1.45,0.039,210.0
10,Cobra,C-3520/14 (700),700,1020,1.33,0.048,210.0
11,Cobra,C-3520/18 (550),550,800,0.93,0.075,210.0
12,Cobra,C-3525/10 (780),780,1380,1.65,0.035,253.0
13,Cobra,C-3525/12 (650),650,1150,1.48,0.045,253.0
14,Cobra,C-3525/14 (560),560,1000,1.18,0.055,253.0
15,Cobra,C-3525/18 (430),430,1120,0.84,0.087,253.0
16,Cobra,C-4120/12 (850),850,1390,2.77,0.021,293.0
17,Cobra,C-4120/14 (710),710,1510,1.99,0.018,293.0
18,Cobra,C-4120/16 (610),610,1380,1.51,0.024,293.0
19,Cobra,C-4120/18 (540),540,1600,1.5,0.03,293.0
20,Cobra,C-4120/20 (480),480,1420,1.87,0.036,293.0
21,Cobra,C-4120/22 (430),430,1330,1.14,0.04,293.0
22,Cobra,C-4130/12 (540),540,1920,1.85,0.019,398.0
23,Cobra,C-4130/14 (450),450,1780,1.46,0.024,398.0
24,Cobra,C-4130/16 (390),390,1630,1.12,0.032,398.0
25,Cobra,C-4130/20 (300),300,1920,0.77,0.046,398.0
26,Cobra,CM-2820/16 (740),740,600,0.92,0.111,146.0
27,Cobra,CM-2820/24 (490),490,520,0.53,0.166,146.0
28,Cobra,CM-2820/32 (350),350,450,0.33,0.3,146.0
29,Cobra,CM-3515/20 (650),650,630,0.78,0.087,199.0
30,Cobra,CM-3515/34 (385),385,530,0.38,0.2,199.0
31,Cobra,CM-3520/20 (480),480,710,0.68,0.104,234.0
32,Cobra,CM-3520/28 (350),350,570,0.43,0.176,234.0
33,Cobra,CM-4006/36 (500),500,420,0.63,0.112,93.0
34,Cobra,CM-4010/20 (550),550,660,0.95,0.054,124.0
35,Cobra,CM-4010/32 (350),350,440,0.59,0.123,124.0
36,Cobra,CM-4012/20 (450),450,670,1.04,0.057,141.0
37,Cobra,CM-4012/30 (300),300,490,0.69,0.124,141.0
38,Cobra,CM-4510/28 (420),420,780,0.68,0.058,211.0
39,Cobra,CM-4510/40 (310),310,490,0.31,0.113,211.0
40,Cobra,CM-4515/18 (435),435,1200,0.95,0.034,273.0
41,Cobra,CM-4515/24 (325),325,890,0.59,0.054,273.0
42,Cobra,CM-4520/14 (400),400,1330,1.45,0.032,342.0
43,Cobra,CM-4520/18 (310),310,1000,0.99,0.044,340.0
44,E-flite,Power 360 (180),180,6000,6.1,0.019,1240.0
45,Planet-Hobby,Joker 3536-8.5 V3 (860),860,480,0.8,0.063,105.0
46,Planet-Hobby,Joker 3542-5.5 V3 (940),940,480,1.2,0.0345,138.0
47,Planet-Hobby,Joker 3542-6.5 V3 (800),800,540,0.9,0.046,138.0
48,Planet-Hobby,Joker 3548-4.5 V3 (850),850,720,1.7,0.0269,167.0
49,Planet-Hobby,Joker 3548-5.5 V3 (720),720,750,1.1,0.0433,167.0
50,Planet-Hobby,Joker 4250-5 V3 (820),820,1040,1.7,0.0187,210.0
51,Planet-Hobby,Joker 4250-6 V3 (680),680,1100,1.3,0.024,210.0
52,Planet-Hobby,Joker 4250-8 V3 (510),510,1150,1.2,0.0416,210.0
53,Planet-Hobby,Joker 5050-7 V3 (560),560,1400,1.3,0.022,280.0
54,Planet-Hobby,Joker 5050-8 V3 (500),500,1440,1.1,0.025,280.0
55,Planet-Hobby,Joker 5050-9 V3 (430),430,1320,0.9,0.0292,280.0
56,Planet-Hobby,Joker 5050-11 V3 (350),350,1500,0.7,0.045,280.0
57,Planet-Hobby,Joker 5060-5.5 V3 (470),470,1800,1.5,0.0164,380.0
58,Planet-Hobby,Joker 5060-7 V3 (375),375,1920,1.1,0.0252,380.0
59,Planet-Hobby,Joker 5060-9 V3 (290),290,2080,0.8,0.0388,380.0
60,Planet-Hobby,Joker 6350-7 V3 (430),430,2400,1.8,0.0115,510.0
61,Planet-Hobby,Joker 6350-8 V3 (380),380,2160,1.6,0.015,510.0
62,Planet-Hobby,Joker 6350-10 V3 (300),300,2560,1.1,0.0218,510.0
63,Planet-Hobby,Joker 6360-8 V3 (280),280,3200,1.4,0.0178,640.0
64,Planet-Hobby,Joker 6360-10 V3 (225),225,3600,1.0,0.0362,640.0
65,Planet-Hobby,Joker 6360-11 V3 (205),205,3400,0.8,0.043,640.0
66,Planet-Hobby,Joker 3542-6 V2 (940),940,450,1.62,0.036,137.0
67,Planet-Hobby,Joker 3542-7 V2 (800),800,450,1.64,0.051,137.0
68,Planet-Hobby,Joker 3548-5 V2 (850),850,650,1.87,0.032,165.0
69,Planet-Hobby,Joker 3548-6 V2 (720),720,650,1.41,0.046,165.0
70,Planet-Hobby,Joker 4240-12 V2 (850),850,450,1.26,0.042,127.0
71,Planet-Hobby,Joker 4240-14 V2 (730),730,450,1.15,0.056,127.0
72,Planet-Hobby,Joker 4250-6 V2 (840),840,900,2.51,0.018,200.0
73,Planet-Hobby,Joker 4250-7 V2 (720),720,900,1.97,0.024,200.0
74,Planet-Hobby,Joker 4250-10 V2 (510),510,900,1.5,0.042,200.0
75,Planet-Hobby,Joker 4260-4 V2 (840),840,1100,4.03,0.012,283.0
76,Planet-Hobby,Joker 4260-5 V2 (680),680,1100,2.97,0.017,283.0
77,Planet-Hobby,Joker 4260-6 V2 (566),566,1100,2.11,0.023,283.0
78,Planet-Hobby,Joker 5050-6 V2 (750),750,1250,2.98,0.014,285.0
79,Planet-Hobby,Joker 5050-8 V2 (575),575,1250,1.68,0.022,285.0
80,Planet-Hobby,Joker 5050-9 V2 (500),500,1250,1.32,0.027,285.0
81,Planet-Hobby,Joker 5050-10 V2 (450),450,1250,1.22,0.033,285.0
82,Planet-Hobby,Joker 5050-13 V2 (350),350,1250,0.79,0.051,285.0
83,Planet-Hobby,Joker 5060-6 V2 (500),500,1650,1.95,0.017,377.0
84,Planet-Hobby,Joker 5060-8 V2 (377),377,1650,1.35,0.026,377.0
85,Planet-Hobby,Joker 5060-9 V2 (345),345,1650,1.05,0.035,377.0
86,Planet-Hobby,Joker 5060-10 V2 (305),305,1650,0.99,0.041,377.0
87,Planet-Hobby,Joker 6350-10 V2 (370),370,2000,1.4,0.024,470.0
88,Planet-Hobby,Joker 6360-8.5 V2 (295),295,2400,1.9,0.0175,630.0
89,Planet-Hobby,Joker 6360-12 V2 (210),210,2400,1.0,0.034,630.0
90,Scorpion,A-3017-560 (560),560,710,0.77,0.0832,136.0
91,Scorpion,A-3017-600 (600),600,962,1.15,0.0506,136.0
92,Scorpion,A-3017-920 (920),920,962,1.86,0.025,136.0
93,Scorpion,A-4220-540 (V2) (540),540,2553,1.91,0.0168,288.0
94,Scorpion,A-4225-250 (V2) (250),250,3108,0.74,0.0486,350.0
95,Scorpion,A-4225-500 (V2) (500),500,3108,2.23,0.0132,398.0
96,Scorpion,A-5025-215 (215),215,4000,1.05,0.035,523.0
97,Scorpion,A-5025-310 (310),310,3850,1.92,0.0173,523.0
98,Scorpion,A-5025-415 (415),415,3441,2.89,0.011,523.0
99,Scorpion,A-5524-205 (194),194,4662,1.51,0.035,655.0
100,Scorpion,A-5524-315 (V2) (315),315,4662,3.49,0.0133,655.0
101,Scorpion,A-6528-160 (160),160,6450,1.97,0.0219,1115.0
102,Scorpion,A-6528-180 (V2) (180),180,7200,2.38,0.0189,1115.0
103,Scorpion,A-6528-200 (V2) (200),200,7200,2.5,0.0158,1115.0
104,Scorpion,A-7430-155 (V2) (155),155,7500,2.23,0.0127,1271.0
105,Scorpion,A-7430-185 (V2) (185),185,7500,2.93,0.0096,1255.0
106,Scorpion,A-7441-165 (V2) (165),165,9300,3.23,0.0083,1605.0
107,Scorpion,A-7441-180 (V2) (180),180,9300,3.6,0.0071,1599.0
108,Scorpion,A-7445-140 (V2) (140),140,10000,2.5,0.011,1688.0
109,Scorpion,A-7445-165 (V2) (165),165,10000,3.48,0.0075,1701.0
